"","f","model","V3","V4","V5","V6","V7","V8","V9","V10"
"1",1,"DLM",-0.18,0.17,0.08,0.14,0.23,0.16,0.13,0.24
"2",1,"Joint TAE",-0.12,0.17,-0.1,0.15,0.39,0.15,0.18,0.24
"3",1,"Separate TAE",6.54,0.12,-4.46,0.13,0.34,0.11,2.43,0.2
"4",2,"DLM",0.04,0.17,0.08,0.14,-0.51,0.16,-0.39,0.24
"5",2,"Joint TAE",-0.79,0.17,1.18,0.15,-0.56,0.15,-0.18,0.24
"6",2,"Separate TAE",-3.58,0.12,1.76,0.13,-3.5,0.11,-5.33,0.2
"7",3,"DLM",-0.03,0.17,-0.08,0.14,0.01,0.16,-0.09,0.24
"8",3,"Joint TAE",2.07,0.17,-0.61,0.15,-1.68,0.15,-0.22,0.24
"9",3,"Separate TAE",4.64,0.12,-4.51,0.13,-2.64,0.11,-2.52,0.2
"10",4,"DLM",0.14,0.17,-0.1,0.14,-0.31,0.16,-0.27,0.24
"11",4,"Joint TAE",2,0.17,-0.2,0.15,-2.06,0.15,-0.25,0.24
"12",4,"Separate TAE",6.34,0.12,-5.33,0.13,-3.2,0.11,-2.18,0.2
"13",5,"DLM",0.02,0.17,0.03,0.14,-0.07,0.16,-0.02,0.24
"14",5,"Joint TAE",0,0.17,0,0.15,-0.06,0.15,-0.05,0.24
"15",5,"Separate TAE",1.86,0.12,-4.95,0.13,1.3,0.11,-1.79,0.2
"16",6,"DLM",0.02,0.17,0.03,0.14,-0.07,0.16,-0.02,0.24
"17",6,"Joint TAE",0,0.17,0,0.15,-0.06,0.15,-0.05,0.24
"18",6,"Separate TAE",-0.04,0.12,0.03,0.13,-0.06,0.11,-0.06,0.2
